,SRX5961261,SRX3266939
ydgE,89,23
STM1484,262,20
STM1485,28,4
ynfM,160,24
ynfL,110,6
mlc,127,69
ynfK,49,75
STM1490,170,22
STM1491,115,4
STM1492,47,20
STM1493,46,3
STM1494,41,0
ynfI,299,54
STM1496,189,17
STM1497,14,0
STM1498,103,1
STM1499,113,9
ynfD,192,18
ynfC,249,46
speG,388,349
ynfB,324,50
ynfA,17,24
rspA,16,2
rspB,12,0
ydfJ,2,10
ydfI,108,56
ydfZ,38,7
ydfH,509,5
ydfG,607,158
dcp,216,87
STM1513,4,0
ydeJ,15,0
ydeI,61,0
ydeE,397,0
ydeD,70,11
marB,94,0
marA,191,0
marR,161,2
marC,170,8
ydeA,209,37
yneJ,140,9
yneI,65,19
yneH,285,89
yneG,80,12
STM1527,829,12
STM1528,83,0
STM1529,5,0
STM1530,25,0
STM1531,6,0
STM1532,23,0
STM1533,39,3
STM1534,32,7
STM1535,8,0
STM1536,24,13
STM1537,18,3
STM1538,34,4
STM1539,9,7
STM1540,33,0
STM1541,232,31
STM1542,69,3
STM1543,5,3
pqaA,9,0
STM1545,20,0
STM1546,48,10
STM1547,72,30
STM1548,31,3
STM1549,151,16
STM1550,101,1
STM1551,40,7
STM1552,15,16
STM1554,207,7
STM1555,60,19
STM1556,77,11
STM1557,69,10
STM1558,154,40
STM1559,57,10
STM1560,52,10
STM1561,24,0
STM1562,10,6
osmC,52,0
yddX,15,1
rpsV,93,5
sfcA,1261,308
adhP,239,43
fdnI,37,40
fdnH,45,63
fdnG,77,263
yddG,22,0
nmpC,22271,17919
STM1573,107,264
smvA,368,40
STM1575,115,11
narU,29,1
narZ,73,29
narY,20,0
narW,8,0
narV,47,0
yddE,400,57
nhoA,368,34
STM1583,71,22
ansP,2427,441
STM1585,92,6
STM1586,1592,261
yncD,140,22
yncC,36,12
yncB,155,69
yncA,233,25
ydcZ,94,10
ydcY,103,16
srfA,247,319
srfB,560,268
srfC,819,208
ydcX,278,45
ydcW,267,43
ydcR,406,29
pdgL,46,4
STM1600,10,1
ugtL,2,0
sifB,18,7
yncJ,18,0
ydcP,724,317
ydcN,175,0
STM1606,267,17
STM1607,278,38
tehB,106,148
tehA,87,34
ydcK,32,1
rimL,65,1
STM1612,45,0
STM1613,4,0
STM1614,26,0
STM1615,130,3
STM1616,20,0
STM1617,15,0
STM1618,39,1
STM1619,17,2
STM1620,40,1
STM1621,12,0
ydcG,873,140
STM1623,56,84
STM1624,69,17
ydcI,445,12
trg,194,32
STM1627,43,206
STM1628,26,113
STM1629,33,0
STM1630,2,6
sseJ,17,1
STM1632,7,2
STM1633,18,5
STM1634,5,0
STM1635,5,0
STM1636,11,0
STM1637,29,0
STM1638,426,14
cybB,166,39
ydcF,178,103
hrpA,1391,786
acpD,130,13
STM1643,35,28
ydbL,52,12
ynbE,2,7
ydbH,436,107
ldhA,458,84
hslJ,163,3
STM1649,20,10
STM1650,7,0
nifJ,691,60
ynaF,158,47
STM1653,73,17
ydaO,606,138
dbpA,961,118
STM1656,285,54
STM1657,122,9
ydaL,166,53
ogt,246,53
fnr,2986,308
ydaA,1589,135
ynaJ,204,13
ynaI,107,6
STM1664,33,13
STM1665,74,6
STM1667,16,0
STM1668,3,0
STM1669,25,1
STM1670,1,0
STM1671,3,1
STM1672,103,5
STM1673,33,9
STM1674,36,27
STM1675,99,54
STM1676,90,5
STM1677,47,12
STM1678,109,0
mppA,408,67
ycjI,315,6
ycjG,208,94
tpx,7210,141
tyrR,1003,239
ycjF,80,203
ycjX,103,158
pspE,35,8
pspD,13,27
pspC,18,83
pspB,5,8
pspA,106,937
pspF,192,9
sapA,534,31
sapB,173,5
sapC,209,51
sapD,318,5
sapF,429,5
STM1697,361,1
STM1698,14,10
STM1698A,0,1
ycjE,77,7
fabI,3512,639
yciW,241,0
rnb,4211,996
yciR,331,11
yciT,543,25
osmB,209,17
yciH,71,48
pyrF,241,154
yciM,594,53
yciS,300,117
pgpB,117,10
ribA,638,147
acnA,714,188
cysB,1572,67
topA,5893,1603
yciN,145,29
sohB,197,100
yciK,185,17
btuR,263,25
yciL,2888,2777
yciO,444,68
trpH,344,190
trpL,4,0
trpE,194,15
trpD,276,15
trpC,508,11
trpB,576,7
trpA,359,34
yciG,17,1
yciF,8,0
yciE,3,0
STM1731,117,27
ompW,24,9
STM1733,63,8
yciC,707,157
yciB,371,253
yciA,319,119
tonB,490,114
yciI,412,11
cls,266,45
yciU,86,44
STM1741,136,12
oppF,180,71
oppD,91,75
oppC,70,16
oppB,85,21
oppA,329,25
STM1747,48,0
ychE,140,4
adhE,2435,1075
tdk,274,32
hns,4835,4976
galU,2767,502
hnr,599,58
ychK,382,64
ychJ,357,13
purU,874,51
STM1760,98,5
narI,25,9
narJ,9,1
narH,18,18
narG,43,69
narK,21,82
narX,416,29
narL,211,42
ychP,656,49
ychN,188,124
chaB,97,0
chaA,1129,231
kdsA,1526,554
ychA,890,280
sirC,129,12
hemK,885,378
prfA,1259,721
hemA,2493,516
lolB,376,41
ipk,1509,421
prsA,4759,1408
ychM,454,108
ychH,5,5
pth,194,29
ychF,1929,1904
STM1785,352,23
STM1786,22,2
STM1787,29,0
STM1788,15,0
STM1789,5,1
STM1790,5,0
STM1791,17,7
STM1792,32,6
STM1793,69,0
STM1794,17,0
STM1795,2109,35
treA,355,13
ymgE,20,12
ycgR,370,111
emtA,197,23
ycgQ,277,29
ycgO,1679,219
dadX,206,4
dadA,149,27
ycgB,340,12
fadR,699,166
nhaB,373,22
dsbB,1143,205
STM1808,138,1
STM1809,100,13
STM1810,42,5
ycgN,220,230
ycgM,507,38
ycgL,198,64
minC,733,326
minD,1359,410
minE,198,38
rnd,680,105
fadD,1015,214
slp,467,433
yeaZ,889,480
yoaA,757,204
yoaB,478,157
yoaH,106,350
pabB,602,54
yeaB,179,5
sdaA,1262,681
STM1827,195,1
yoaE,413,304
STM1829,38,0
manX,295,1912
manY,176,381
manZ,230,410
STM1833,11,17
yebN,301,44
rrmA,416,58
STM1836,381,23
cspC,2305,89
yobF,989,42
STM1839,225,16
yobG,51,22
STM1841,29,4
kdgR,518,173
STM1843,114,5
htpX,1897,1732
prc,5056,1654
proQ,5197,1486
yebR,875,153
yebS,416,35
STM1849,746,148
yebU,812,104
STM1851,103,0
yebW,24,7
prpA,44,4
STM1854,8,0
sopE2,6,0
STM1856,4,0
STM1857,45,30
STM1858,25,0
STM1859,17,0
STM1860,15,6
STM1861,8,3
pagO,14,0
STM1863,1,0
STM1864,11,0
STM1865,3,0
pagK,3,0
mig-3,9,4
STM1868A,11,4
STM1869,15,0
STM1869A,5,2
STM1870,10,3
STM1871,29,8
STM1872,377,0
STM1873,499,18
STM1874,734,44
yobA,314,12
holE,93,3
STM1877,119,11
exoX,278,24
ptrB,502,176
yebE,562,382
yebF,290,415
yebG,254,136
purT,104,29
eda,271,61
edd,315,64
zwf,2133,282
yebK,245,8
pykA,1041,308
msbB,710,130
yebA,1570,191
znuA,1005,88
znuC,309,2
znuB,325,22
ruvB,402,433
ruvA,285,198
STM1896,31,0
yebB,59,5
ruvC,510,81
yebC,852,1797
ntpA,443,169
aspS,2623,2331
yecD,187,16
yecE,118,0
yecN,146,23
yecO,358,203
yecP,456,92
cutC,359,29
yecM,147,25
argS,1565,1087
STM1910,198,7
STM1911,238,353
flhE,90,80
flhA,505,226
flhB,121,454
cheZ,646,2487
cheY,219,681
cheB,197,297
cheR,178,125
cheM,767,401
cheW,294,1864
cheA,1306,2984
motB,372,461
motA,640,517
flhC,750,314
flhD,1119,19
STM1926,10,0
yecG,161,8
otsA,153,15
otsB,32,16
araH,13,6
ftnB,65,0
STM1933,30,0
STM1934,104,16
ftn,224,4
yecH,16,1
tyrP,983,8
yecA,990,200
STM1939,133,1
STM1940,189,1
STM1941,34,1
pgsA,321,32
uvrC,809,122
uvrY,887,140
STM1948,10,0
yecF,254,10
sdiA,340,78
yecC,102,191
yecS,48,9
yedO,71,262
fliY,332,205
fliZ,165,72
fliA,751,2691
tnpA_2,15,0
fliB,320,134
fliC,12419,5806
fliD,1026,467
fliS,165,150
fliT,167,28
amyA,204,96
yedD,192,63
yedE,186,66
yedF,17,13
STM1967,14,0
fliE,35,21
fliF,777,962
fliG,404,1535
fliH,320,776
fliI,390,1235
fliJ,99,171
fliK,501,125
fliL,222,345
fliM,773,226
fliN,208,692
fliO,264,129
fliP,423,16
fliQ,59,19
fliR,218,13
rcsA,84,0
yodD,92,1
yedP,17,1
STM1987,214,18
STM1988,44,36
yedI,130,30
yedA,136,14
vsr,137,23
dcm,750,50
yedJ,124,12
STM1994,35,0
ompS,949,12
cspB,32759,37
umuC,432,42
umuD,147,11
STM1999,145,0
yeeI,78,12
STM2005,566,33
STM2006,176,5
STM2007,33,5
STM2008,72,10
amn,489,57
STM2010,12,0
STM2011,168,5
yeeO,38,16
erfK,153,9
cobT,52,23
cobS,24,33
cobU,5,0
cbiP,27,74
cbiO,21,13
cboQ,11,22
cbiN,3,0
cbiM,11,6
cbiL,8,6
cbiK,13,5
cbiJ,9,10
cbiH,1,5
cbiG,6,2
cbiF,8,6
cbiT,5,15
cbiE,0,3
cbiD,55,13
cbiC,4,5
cibB,74,15
cbiA,65,10
pocR,22,12
pduF,34,6
pduA,2,0
pudB,1,5
pduC,6,1
pduD,1,0
pduE,3,1
pduG,6,0
pduH,4,3
pduJ,3,0
pduK,8,0
pduL,6,4
pduM,3,3
pduN,2,0
pduO,11,9
pduP,21,6
pduQ,5,1
pduS,5,13
pduT,2,1
pduU,0,0
pduV,4,0
pduW,32,0
pduX,933,14
yeeX,1534,124
yeeA,423,51
sbmC,74,246
dacD,136,9
phsC,51,1
phsB,18,5
phsA,27,14
sopA,340,0
sbcB,635,48
yeeF,6140,993
yeeY,161,14
yeeZ,226,145
hisG,285,1123
hisD,311,274
hisC,289,65
hisB,349,321
hisH,178,121
hisA,229,145
hisF,294,215
hisI,291,20
wzzB,2681,240
udg,210,7
gnd,1297,458
rfbP,584,129
rfbK,371,68
rfbM,726,61
rfbN,538,49
rfbU,705,28
rfbV,570,67
rfbX,342,11
rfbJ,322,30
rfbH,2229,1411
rfbG,915,505
rfbF,392,739
rfbI,271,376
rfbC,197,160
rfbA,193,46
rfbD,628,119
rfbB,748,136
galF,1965,338
wcaM,35,1
wcaL,3,0
wcaK,17,4
wzxC,17,19
wcaJ,42,2
cpsG,19,0
manC,38,5
wcaI,24,6
wcaH,6,2
wcaG,10,20
gmd,36,13
wcaF,8,0
wcaE,4,0
wcaD,14,9
wcaC,7,8
wcaB,1,1
wcaA,34,0
wzc,26,4
wzb,1,2
wza,11,0
yegH,516,62
asmA,2064,414
dcd,1117,431
udk,730,155
yegE,593,49
alkA,63,5
yegD,831,409
STM2126,155,3
yegN,195,23
yegO,213,14
yegB,175,4
baeS,398,9
baeR,279,21
STM2133,16,1
STM2134,16,8
STM2135,132,6
yegQ,601,295
STM2137,28,3
STM2138,14,3
STM2139,32,43
yegS,55,3
fbaB,26,2
yegT,50,4
yegU,98,27
yegV,233,65
yegW,384,43
thiD,116,85
thiM,306,48
STM2148,242,9
stcD,5,0
stcC,47,6
stcB,3,0
stcA,3,0
yehE,125,0
mrp,2022,573
metG,2410,745
yehR,85,5
STM2156A,142,6
yehS,587,36
yehT,63,30
yehU,223,37
yehV,87,13
STM2161,0,9
yehW,778,3
yehX,337,7
yehY,81,3
yehZ,93,10
bglX,340,127
dld,321,38
pbpG,617,31
yohC,23,7
yohD,95,1
yohF,56,0
yohG,44,10
STM2173,9,2
yohI,95,130
STM2175,48,32
STM2176,30,7
STM2177,12,0
STM2178,16,0
STM2179,11,6
STM2180,280,0
yohJ,50,1
yohK,146,4
cdd,194,61
sanA,359,46
b2145,14,6
STM2186,40,2
yeiA,51,2
mglC,32,3
mglA,15,12
mglB,67,35
galS,259,17
yeiB,530,35
folE,833,53
yeiG,657,9
STM2195,49,12
STM2196,61,13
STM2197,14,1
STM2198,436,1
cirA,8296,1736
lysP,2440,289
yeiE,664,57
yeiH,208,2
nfo,528,18
fruA,689,4878
fruK,222,2264
fruF,324,3349
setB,567,21
STM2208,24,0
STM2209,1,0
yeiP,702,129
yeiR,596,47
yeiU,1062,15
spr,8428,427
rtn,703,11
yejA,341,11
yejB,224,10
yejE,213,11
yejF,1559,24
yejG,1417,22
bcr,355,59
rsuA,367,85
yejH,1048,72
rplY,9939,650
STM2225,669,84
yejK,1168,517
yejL,319,15
yejM,1370,84
STM2230,188,0
STM2231,14,0
oafA,727,27
STM2233,37,0
STM2234,17,7
STM2235,17,1
STM2236,5,11
STM2237,13,3
STM2238,70,6
STM2239,4,2
STM2240,125,62
sspH2,405,108
STM2242,10,0
STM2243,18,0
STM2244,2,0
STM2245,0,0
narP,169,134
ccmH,44,4
ccmG,0,0
ccmF,0,0
ccmE,0,0
ccmD,0,0
ccmC,0,0
ccmB,0,0
ccmA,2,1
napC,11,4
napB,9,0
napH,27,16
napG,15,27
napA,134,72
napD,2,6
napF,11,9
eco,1265,14
yojI,887,196
alkB,20,22
ada,44,40
apbE,28,31
ompC,8044,317
yojN,2299,83
rcsB,1446,26
rcsC,1540,253
gyrA,6782,6330
STM2273,93,23
STM2274,11,0
STM2275,67,0
ubiG,725,111
nrdA,3359,1102
nrdB,1409,706
yfaE,93,38
STM2280,174,37
STM2281,62,1
glpQ,434,666
glpT,364,1438
glpA,55,82
glpB,20,7
glpC,40,22
STM2287,22,6
STM2288,5,0
STM2289,31,3
yfaV,56,0
yfaW,49,2
yfaX,57,0
STM2293,700,40
yfaZ,341,82
yfaO,359,29
ais,1894,14
yfbE,1549,13
pmrF,773,12
yfbG,2150,30
STM2300,674,6
pqaB,418,25
STM2302,57,1
STM2303,73,3
pmrD,79,1
menE,475,337
menC,286,220
menB,242,273
yfbB,87,10
menD,277,329
menF,290,43
elaB,56,32
elaA,55,5
elaC,268,19
STM2314,536,89
yfbK,210,6
nuoN,2179,563
nuoM,2132,1017
nuoL,3230,935
nuoK,173,42
nuoJ,885,158
nuoI,804,393
nuoH,1616,261
nuoG,4258,2050
nuoF,1644,1594
nuoE,517,119
nuoC,3571,1088
nuoB,2275,269
nuoA,2640,212
STM2329,20,0
lrhA,347,147
yfbQ,730,152
STM2332,158,15
yfbS,384,133
yfbT,632,48
yfbU,453,43
STM2336,447,16
ackA,8636,155
pta,9762,438
yfcC,293,0
STM2340,38,25
STM2341,8,5
STM2342,12,0
STM2343,0,0
STM2344,3,0
STM2345,308,9
STM2346,498,65
yfcE,361,118
yfcF,86,13
yfcG,76,0
yfcH,402,35
hisP,149,24
hisM,61,20
hisQ,153,24
hisJ,577,97
argT,92,3
ubiX,486,62
STM2357,652,84
STM2358,62,4
STM2359,32,2
STM2360,36,9
STM2361,120,10
purF,889,141
cvpA,787,244
dedD,820,205
folC,858,554
accD,2497,780
dedA,483,84
truA,556,92
usg,866,430
pdxB,996,406
flk,835,33
STM2372,672,196
STM2373,21,8
STM2374,24,0
STM2375,21,0
STM2376,75,0
STM2377,249,8
fabB,4360,314
STM2379,1047,40
yfcL,226,81
yfcM,269,94
yfcA,233,19
mepA,293,33
aroC,339,441
yfcB,530,385
yfcN,470,19
sixA,1641,428
yfcX,159,36
yfcY,61,7
yfcZ,295,44
fadL,2472,187
vacJ,796,181
yfdC,22,4
pgtE,54,1
pgtA,81,27
pgtB,74,35
pgtC,26,0
pgtP,30,4
STM2400,35,0
ddg,2625,169
yfdZ,1592,67
glk,192,178
STM2404,120,1
STM2405,145,15
STM2406,193,29
ypeC,111,1
mntH,501,24
nupC,425,237
yfeA,258,17
yfeC,68,5
yfeD,85,4
gltX,1692,936
xapR,273,16
xapB,16,5
xapA,4,0
yfeN,25,1
yfeR,44,22
yfeH,352,28
STM2426,61,20
lig,1528,726
zipA,3345,461
cysZ,264,8
cysK,831,101
ptsH,2354,207
ptsI,8862,7394
crr,4345,1916
STM2434,57,10
pdxK,168,16
ptsJ,349,7
yfeJ,273,0
yfeK,45,0
yfeL,145,7
cysM,395,55
cysA,58,32
cysW,71,5
cysU,124,10
cysP,77,4
ucpA,203,48
STM2446,791,268
STM2447,284,25
yfeZ,122,37
STM2449,223,86
amiA,667,63
hemF,415,61
STM2452,72,0
STM2453,145,6
eutR,47,26
eutK,11,0
eutL,9,0
eutC,9,7
eutB,7,11
eutA,9,10
eutH,12,14
eutG,5,10
eutJ,1,4
eutE,16,11
eutN,2,0
eutM,2,0
eutD,5,5
eutT,9,0
eutQ,7,5
eutP,1,0
eutS,2,0
tnpA_3,0,0
maeB,853,106
talA,42,10
tktB,211,15
STM2475,97,2
ypfG,216,16
yffH,248,135
STM2478,214,9
aegA,98,5
narQ,121,2
acrD,504,30
yffB,308,0
dapE,1197,32
STM2484,129,44
ypfI,753,123
STM2486,359,29
purC,401,59
nlpB,3431,755
dapA,2780,1844
gcvR,417,29
bcp,651,127
STM2492,273,1
perM,359,159
STM2494,540,27
yfgD,231,16
yfgE,1128,332
uraA,303,20
upp,1251,1999
purM,438,149
purN,399,19
ppk,1465,49
ppx,992,93
STM2503,89,0
STM2504,0,0
STM2505,0,0
STM2506,1,10
STM2507,303,4
STM2508,86,21
STM2509,69,7
guaA,2252,1621
guaB,482,403
xseA,1239,242
shdA,300,55
ratB,722,48
ratA,352,126
sinI,22,12
sinH,27,6
yfgJ,197,0
engA,1951,960
yfgL,2115,1716
yfgM,800,547
hisS,2461,984
gcpE,2812,443
yfgA,4417,376
yfgB,3396,449
ndk,2116,146
STM2527,70,2
STM2528,26,5
STM2529,20,0
STM2530,135,15
pbpC,227,65
STM2532,994,404
sseA,223,113
STM2534,36,0
sseB,697,252
pepB,1382,853
yfhJ,450,651
fdx,433,1177
hscA,3248,2057
hscB,1362,61
yfhF,2124,899
nifU,1482,990
nifS,6760,4647
yfhP,3784,395
STM2545,1352,1512
suhB,2865,761
STM2547,199,3
asrA,17,6
asrB,36,4
asrC,92,18
STM2551,132,40
STM2552,93,9
csiE,256,0
hcaT,741,57
glyA,1705,318
hmpA,103,27
cadC,1115,80
cadB,99,5
cadA,181,63
yjdL,321,9
glnB,378,119
yfhA,894,168
yfhG,514,52
yfhK,523,58
purG,903,161
STM2566,0,0
yfhD,746,65
yfhC,286,69
yfhB,212,19
STM2570,101,13
STM2571,93,25
yfhH,165,10
STM2573,92,3
STM2574,17,6
STM2575,50,0
yfhL,112,11
acpS,214,76
pdxJ,284,335
recO,803,214
era,2113,1066
rnc,1375,428
lepB,1393,627
lepA,2217,1196
gogB,160,0
STM2585,61,0
STM2585A,1,0
STM2586,3,4
STM2587,3,0
STM2588,149,12
STM2589,63,75
STM2590,10,10
STM2591,12,23
STM2592,97,11
STM2593,3,0
STM2594,169,122
STM2595,2,4
STM2596,2,8
STM2597,35,38
STM2598,11,9
STM2599,860,41
STM2600,197,29
STM2601,8,56
STM2602,7,19
STM2603,29,77
STM2604,3,71
STM2605,83,67
STM2606,142,64
STM2607,0,7
STM2608,66,31
STM2609,5,12
STM2610,22,1
STM2611,32,1
STM2612,1,33
STM2613,0,0
STM2614,84,22
STM2616,581,9
STM2617,25,7
STM2618,1,0
STM2619,56,0
STM2620,137,1
STM2621,0,0
STM2622,0,0
STM2623,0,0
STM2624,0,0
STM2625,0,0
STM2626,0,0
STM2627,0,0
STM2628,0,0
STM2629,1,3
STM2630,0,0
STM2631,46,0
STM2632,0,0
STM2633,1,2
STM2634,0,0
STM2635,36,1
STM2636,357,61
rseC,502,95
rseB,1344,127
rseA,1669,118
rpoE,1079,721
nadB,499,19
yfiC,659,35
srmB,2722,482
yfiE,425,9
yfiK,38,1
yfiD,350,99
ung,1004,59
yfiF,2891,297
trxC,944,21
yfiP,388,5
yfiQ,501,81
pssA,2411,201
yfiM,191,16
kgtP,584,44
STM2655,20,8
clpB,1060,3540
yfiH,1041,212
rluD,1206,208
yfiO,3435,223
yfiA,1196,13
STM2666,6,2
pheA,955,87
STM2668,139,15
tyrA,754,53
aroF,934,18
yfiR,798,9
yfiN,1365,12
rplS,12515,5605
trmD,29609,16952
rimM,25375,33493
rpsP,9552,233
ffh,2354,760
corE,854,125
yfjD,1816,114
STM2680,443,32
grpE,947,1852
STM2682,0,0
yfjB,284,7
recN,1333,322
smpA,1082,81
yfjF,348,79
yfjG,292,24
smpB,1158,59
STM2690,77,6
STM2691,33,0
STM2692,50,0
STM2694,0,0
STM2695,0,2
STM2696,0,0
STM2697,0,24
STM2698,0,0
STM2699,0,10
STM2700,0,3
STM2701,0,28
STM2702,0,0
STM2703,0,0
STM2704,0,7
STM2705,2,0
STM2706,4,1
STM2707,0,2
STM2708,0,0
STM2709,0,0
STM2710,0,0
STM2711,0,0
STM2712,0,5
STM2713,0,0
STM2714,0,0
STM2715,0,0
STM2716,0,0
STM2717,0,0
STM2718,0,0
STM2719,0,0
STM2720,0,4
STM2721,0,0
STM2722,0,0
STM2723,0,0
STM2724,0,0
STM2726,0,0
STM2727,0,2
STM2728,0,0
STM2729,0,7
STM2730,0,0
STM2731,0,0
STM2732,0,0
STM2733,0,0
STM2734,0,0
STM2735,0,0
STM2736,0,0
STM2737,0,0
STM2738,0,0
STM2739,0,0
STM2740,166,2
STM2741,17,0
STM2742,386,10
STM2743,276,15
STM2744,0,0
STM2745,77,3
STM2746,429,14
STM2747,247,0
STM2748,127,27
STM2749,14,7
STM2750,11,3
STM2751,4,31
STM2752,53,0
STM2753,282,6
STM2754,167,1
STM2755,4,0
STM2756,0,0
STM2757,2,0
STM2758,31,11
STM2759,47,5
STM2760,28,0
STM2761,33,1
STM2762,60,1
STM2763,56,11
STM2764,13,0
STM2765,16,4
STM2766,151,3
STM2767,725,40
fljA,12,4
fljB,551,63
hin,36,2
iroB,95,25
iroC,219,224
iroD,61,51
iroE,38,13
iroN,174,272
STM2779,31,34
STM2780,28,92
virK,117,6
mig-14,162,8
nxiA,151,18
tctE,112,13
tctD,21,5
STM2786,18,3
STM2787,5,4
STM2788,118,0
STM2789,12,0
ygaF,26,0
gabD,59,9
gabT,258,1
gabP,34,2
ygaE,134,7
ygaU,34,3
yqaE,14,6
STM2797,178,4
ygaP,418,33
stpA,215,188
STM2800,316,8
ygaC,101,4
ygaM,43,5
STM2803,77,51
STM2804,20,3
nrdH,7,55
nrdI,8,15
nrdE,216,52
nrdF,223,22
proV,2430,23
proW,1414,24
proX,780,22
STM2812,383,14
emrR,1105,14
emrA,1593,19
emrB,1061,22
STM2816,112,26
luxS,1269,207
gshA,2816,280
yqaA,680,48
yqaB,2291,442
csrA,1334,138
alaS,6924,3167
oraA,333,76
recA,7271,2355
ygaD,384,296
mltB,388,15
srlA,7,1
srlE,15,0
slrB,5,0
srlD,85,26
gutM,39,0
srlR,224,8
gutQ,128,4
ygaA,146,172
STM2840,82,2
ygbD,100,3
hypF,282,93
hydN,15,0
STM2844,19,0
hycI,15,8
hycH,9,4
hycG,10,16
hycF,9,8
hycE,39,21
hycD,17,7
hycC,31,18
hycB,5,0
hycA,12,0
hypA,18,7
hypB,97,8
hypC,18,5
hypD,175,15
hypE,197,44
fhlA,335,34
ygbA,38,14
sitA,679,33
sitB,197,108
sitC,99,22
sitD,168,26
avrA,79,25
sprB,21,18
hilC,30,2
STM2868,93,0
orgA,105,6
STM2870,364,20
prgK,105,57
prgJ,11,4
prgI,9,13
prgH,39,35
hilD,581,41
hilA,32,4
iagB,7,3
sptP,337,121
sicP,66,44
STM2880,110,15
iacP,3,3
sipA,98,40
sipD,47,20
sipC,88,49
sipB,28,52
sicA,4,6
spaS,4,15
spaR,3,6
spaQ,1,4
spaP,2,10
spaO,5,15
invJ,5,9
invI,1,1
invC,6,32
invB,0,5
invA,12,29
invE,5,18
invG,8,5
invF,8,12
invH,53,8
STM2901,204,32
STM2902,50,8
STM2903,15,1
STM2904,45,18
STM2905,132,21
STM2906,34,0
pphB,109,0
STM2908,60,1
mutS,792,364
STM2910,13,0
STM2911,46,5
STM2912,72,0
STM2913,83,14
STM2914,9,0
ygbM,12,1
ygbL,14,0
ygbK,17,0
ygbJ,25,18
ygbI,242,6
STM2920,121,55
STM2921,10,1
STM2922,118,17
STM2923,57,0
rpoS,11158,1601
nlpD,10812,131
pcm,690,71
surE,700,135
ygbO,1139,341
ispF,349,231
ispD,755,44
ygbQ,747,101
ygbE,59,0
cysC,79,10
cysN,173,12
cysD,66,19
iap,361,34
ygbF,21,0
STM2938,43,22
ygcH,15,7
STM2940,33,4
yghJ,49,10
STM2942,25,0
STM2943,77,0
ygcB,36,8
sopD,31,5
cysH,94,3
cysI,161,46
cysJ,155,23
ptpS,300,109
STM2950,114,5
ygcF,775,74
eno,15151,2398
pyrG,11085,3001
mazG,252,155
STM2955,173,43
relA,1331,340
ygcA,541,171
barA,487,73
STM2959,97,32
gudD,56,24
ygcY,73,52
gudT,64,4
STM2963,339,35
yqcB,373,111
yqcC,145,7
syd,920,57
yqcD,329,14
ygdH,1741,193
sdaC,1824,1287
sdaB,1146,508
exo,431,17
fucO,104,7
fucA,3,0
fucI,39,2
fucK,55,2
fucU,17,0
fucR,283,15
ygdE,809,196
ygdD,124,33
gcvA,664,23
ygdI,843,4
csdA,1369,318
ygdK,330,34
STM2986,145,0
ygdL,377,150
mltA,1040,109
amiC,635,146
argA,126,7
recD,342,32
recB,1112,273
ptr,1590,92
recC,1212,125
ppdC,2,0
ygdB,3,2
ppdB,9,2
ppdA,25,0
thyA,1121,42
lgt,840,52
ptsP,1098,426
ygdP,554,140
mutH,349,115
ygdQ,430,19
ygdR,84,1
tas,846,32
ygeD,513,108
aas,685,102
galR,504,31
STM3012,706,23
lysA,1470,22
lysR,175,0
ygeA,187,65
araE,82,262
kduD,25,2
kduI,39,2
yqeF,107,38
STM3020,141,18
STM3021,53,1
STM3022,932,19
yohL,121,6
yohM,131,0
STM3025,69,2
STM3026,8,2
stdC,18,12
stdB,33,6
stdA,36,0
STM3030,62,4
STM3031,9,4
tnpA_4,0,0
STM3033,499,91
STM3034,248,29
STM3035,63,0
STM3036,652,3
STM3038,488,27
idi,986,29
lysS,4478,2725
prfB,2603,2938
recJ,1202,391
dsbC,434,52
xerD,552,17
fldB,948,56
ygfX,509,81
ygfY,300,31
ygfZ,918,49
yqfA,1861,19
yqfB,107,15
bglA,474,45
STM3052,19,18
gcvP,628,36
gcvH,90,112
gcvT,400,65
