,SRX5961261,SRX3266939
visC,1227,122
ubiH,947,151
pepP,1104,93
ygfB,562,63
ygfE,8762,222
ygfA,3151,12
serA,584,90
rpiA,342,160
iciA,325,18
yggE,416,68
yggA,134,15
yggB,292,28
fba,3624,649
pgk,3413,2600
epd,1307,420
STM3071,5,0
STM3072,3,8
STM3073,8,3
STM3074,78,6
STM3075,81,0
tktA,7740,2920
yggG,450,34
speB,1822,582
STM3079,88,8
STM3080,20,0
STM3081,46,5
STM3082,53,4
STM3083,73,7
STM3084,688,25
STM3085,91,2
speA,5320,3193
yqgB,215,8
yqgC,455,3
yqgD,17,214
metK,2168,274
galP,196,41
sprT,137,33
endA,277,5
yggJ,335,129
gshB,619,133
yqgE,820,51
yqgF,433,27
STM3098,217,13
yggR,20,0
yggS,433,69
yggT,493,104
yggU,174,5
yggV,595,152
yggW,1248,138
yggM,41,4
ansB,225,4
yggN,1020,274
yggL,257,95
yggH,613,184
mutY,791,104
yggX,272,25
mltC,583,13
nupG,218,18
speC,455,17
yqgA,176,9
STM3117,1091,0
STM3118,160,7
STM3119,50,0
STM3120,68,0
STM3121,326,15
STM3122,299,15
STM3123,49,5
STM3124,26,6
STM3125,33,0
STM3126,65,14
STM3127,46,16
STM3128,55,17
STM3129,93,15
STM3130,32,7
STM3131,35,9
STM3132,31,9
STM3133,1,5
STM3134,42,8
STM3135,174,16
STM3136,99,21
STM3137,436,14
STM3138,33,10
gsp,775,80
yghU,333,7
STM3141,56,42
STM3142,16,3
hybG,27,1
hybF,43,0
hybE,35,77
hybD,69,223
hybC,295,172
hybB,39,108
hybA,55,262
hypO,252,46
yghW,44,59
STM3152,432,275
yqhA,143,34
STM3154,101,5
STM3155,62,0
STM3156,80,0
yghA,373,3
exbD,787,671
exbB,1569,289
STM3160,7,0
metC,148,12
yghB,470,53
yqhC,222,23
yqhD,246,159
yqhE,202,18
STM3166,46,0
STM3167,372,2
ygiR,1055,329
STM3169,8,0
STM3170,8,0
ygiK,275,4
sufI,1715,237
plsC,681,100
parC,2251,762
STM3175,240,87
ygiW,323,53
ygiX,93,19
ygiY,183,25
mdaB,287,11
ygiN,557,19
parE,4409,940
yqiA,777,169
icc,1070,112
yqiB,187,3
yqiE,281,62
tolC,7628,67
ygiB,1556,179
ygiC,1942,359
ygiD,386,47
ygiE,927,14
STM3191,9,0
STM3192,13,15
STM3193,22,7
STM3194,177,8
ribB,3431,416
yqiC,244,3
glgS,78,0
STM3198,55,0
yqiK,430,10
rfaE,1212,467
glnE,708,193
ygiF,212,106
ygiM,488,95
cca,822,191
bacA,468,166
folB,75,16
ygiH,922,144
gcp,1208,126
rpsU,7892,10520
dnaG,5193,1348
rpoD,7943,4742
mug,183,67
yqjH,763,235
yqjI,502,345
STM3216,3809,462
aer,148,69
oat,114,1
fadH,478,17
ygjO,4006,636
ygjP,215,0
ygjQ,135,6
ygjR,201,10
ygjT,3389,350
ygjU,1393,379
yqjA,916,258
yqjB,684,0
yqjC,1020,19
yqjD,470,71
yqjE,573,166
yqjK,258,48
yqjF,39,1
yqjG,210,20
yhaH,136,12
yhaJ,338,120
yhaK,51,0
yhaL,26,6
yhaN,163,90
yhaO,57,9
tdcG,62,18
tdcE,62,71
tdcD,17,7
tdcC,84,33
tdcB,21,5
tdcA,29,0
garK,27,12
garR,20,3
garL,8,8
garD,65,10
STM3251,143,0
agaR,155,26
STM3253,34,2
STM3254,1,0
STM3255,26,0
STM3256,17,4
STM3257,51,1
STM3258,11,0
STM3259,4,0
STM3260,30,6
STM3261,60,0
STM3262,242,136
yraL,597,29
yraM,1134,117
yraN,98,23
yraO,458,19
yraP,419,57
yraR,273,8
yhbO,115,0
yhbP,127,0
yhbQ,116,0
yhbS,166,94
yhbT,214,72
yhbU,19,7
yhbV,32,20
yhbW,421,7
STM3277,64,0
STM3278,13,0
mtr,415,54
deaD,40252,11710
nlpI,23584,2539
pnp,21389,27138
rpsO,18912,5774
truB,3352,2079
rbfA,1472,446
infB,19125,16477
nusA,10545,6356
yhbC,3810,227
argG,823,58
STM3291,344,29
secG,11703,638
mrsA,723,1170
folP,259,75
hflB,12488,8909
ftsJ,3050,734
yhbY,2827,590
greA,1878,260
dacB,1360,27
yhbZ,2774,8639
rpmA,3124,5097
rplU,6001,2968
ispB,1620,289
nlp,350,5
murA,3695,545
yrbA,686,20
yrbB,262,406
yrbC,608,54
yrbD,423,46
yrbE,663,128
yrbF,1428,274
yrbG,672,163
yrbH,812,121
yrbI,719,192
yrbK,691,41
yhbN,827,29
yhbG,705,200
rpoN,3623,298
yhbH,821,18
ptsN,1014,31
yhbJ,1265,231
ptsO,174,0
yrbL,106,2
mtgA,232,39
yhbL,247,25
arcB,748,239
yhcC,94,1
gltB,1140,925
gltD,298,194
yhcG,56,0
STM3333,340,25
STM3334,695,46
yhcH,22,6
nanK,11,8
nanE,16,7
nanT,67,19
nanA,21,11
yhcK,1168,109
sspB,2750,405
sspA,5410,831
STM3343,720,92
rpsI,22293,18854
rplM,35311,15086
yhcM,1578,82
yhcB,1280,96
degQ,1513,49
degS,814,50
STM3350,40,4
oadB,3,1
oadA,1,0
oadG,4,0
STM3354,7,3
STM3355,11,7
STM3356,12,8
STM3357,611,14
STM3358,771,58
mdh,3118,117
argR,561,34
yhcN,702,0
STM3362,689,4
yhcO,10,0
yhcP,439,7
yhcQ,199,14
yhcR,66,0
yhcS,421,10
tldD,1318,63
yhdP,1244,207
cafA,1878,424
yhdE,746,167
mreD,543,183
mreC,1298,144
mreB,2427,689
yhdA,734,93
yhdH,773,12
STM3377,395,4
STM3378,235,2
accB,4494,415
accC,8258,327
yhdT,68,8
panF,632,70
prmA,980,332
yhdG,18410,5260
fis,3570,962
yhdJ,279,52
yhdU,107,38
STM3388,498,41
envR,26,0
acrE,110,0
acrF,534,15
yhdV,131,0
yrdA,365,41
yrdB,123,19
aroE,671,37
yrdC,594,10
yrdD,656,40
smg,600,124
smf,82,102
def,720,577
fmt,1442,86
sun,907,36
trkA,962,51
mscL,154,35
STM3411,49,29
zntR,132,16
yhdN,111,3
rplQ,19774,17130
rpoA,91081,119999
rpsD,27755,43044
rpsK,22791,8126
rpsM,29445,26459
rpmJ,8905,434
secY,59109,41011
rplO,16617,44482
rpmD,1976,3238
rpsE,15012,23355
rplR,10852,17294
rplF,23290,8683
rpsH,16534,5409
rpsN,15326,17829
rplE,29106,35725
rplX,10254,11249
rplN,17728,25293
rpsQ,8664,13319
rpmC,3054,17422
rplP,18555,6400
rpsC,37165,80158
rplV,17561,48479
rpsS,9834,8429
rplB,39818,12139
rplW,14713,51273
rplD,31789,47753
rplC,44587,35794
rpsJ,24017,15736
hopD,239,0
bfr,960,342
bfd,528,65
tufA,26775,39500
fusA,112781,63281
rpsG,25705,8071
rpsL,22080,4350
yheL,417,14
yheM,240,17
yheN,320,17
yheO,1251,62
fkpA,4295,520
slyX,592,53
slyD,5392,1062
yheV,155,10
kefB,1169,49
yheR,333,4
yheS,2025,157
STM3461,260,19
yheT,1103,81
yheU,82,3
prkB,783,18
yhfA,1016,36
crp,3235,51
yhfK,869,16
argD,227,44
pabA,257,62
fic,98,13
yhfG,48,18
ppiA,711,263
yhfC,701,83
nirB,363,134
nirD,41,5
nirC,79,3
cysG,579,172
bigA,301,25
tnpA_5,1,0
yhfL,74,1
trpS,1262,496
gph,648,221
rpe,812,56
dam,1269,53
damX,3775,2011
aroB,4938,1472
aroK,3253,1920
hofQ,68,6
yrfA,1,14
yrfB,3,2
yrfC,13,8
yrfD,38,5
mrcA,2626,245
yrfE,1095,121
yrfF,1611,67
yrfG,536,149
yrfH,252,75
yrfI,1136,259
yhgE,243,38
pckA,3214,156
envZ,523,131
ompR,558,134
greB,146,20
yhgF,1728,273
feoA,177,27
feoB,1502,467
yhgG,143,94
STM3508,185,4
bioH,214,45
yhgH,109,15
yhgI,788,333
gntT,188,60
malQ,185,43
malP,105,30
malT,579,290
STM3516,117,42
STM3517,146,26
rtcA,112,54
rtcB,101,74
STM3521,56,42
rtcR,823,61
glpR,761,67
glpG,1119,53
glpE,323,1
glpD,3215,1422
STM3527,209,0
STM3528,185,4
STM3529,42,12
STM3531,48,0
STM3532,85,0
STM3533,280,11
glgP,456,63
glgA,68,51
glgC,40,8
glgX,67,13
glgB,244,79
asd,1075,108
yhgN,69,4
gntU,234,51
gntK,90,3
gntR,843,64
yhhW,624,5
yhhX,1881,19
yhhY,298,21
STM3547,7,0
STM3548,4,0
STM3549,8,0
STM3550,52,6
ggt,121,3
yhhA,92,0
ugpQ,87,26
ugpC,21,23
ugpE,15,0
ugpA,34,1
ugpB,124,4
STM3558,20,4
yhhV,3,9
livF,28,67
livG,38,109
livM,91,70
livH,67,66
livK,92,47
yhhK,122,6
STM3566,17,0
livJ,686,41
rpoH,12613,2311
ftsX,1057,272
ftsE,599,125
ftsY,1206,569
yhhF,328,96
yhhL,128,16
yhhM,191,5
yhhN,390,43
zntA,385,120
tcp,613,168
yhhP,119,32
yhhQ,585,25
STM3580,925,19
yhhS,389,38
yhhT,58,2
acpT,618,25
nikR,433,25
yhhJ,268,11
yhiH,449,161
yhiI,312,76
yhiN,736,90
pitA,7832,626
uspB,150,16
uspA,2888,55
yhiP,436,13
yhiQ,411,100
prlC,1248,287
STM3595,213,19
yhiR,1207,38
gor,1278,261
STM3598,112,22
STM3599,60,10
STM3600,33,0
STM3601,88,7
STM3602,254,8
treF,585,87
STM3604,591,8
STM3605,23,0
yhjB,21,0
yhjC,216,3
yhjD,226,1
yhjE,235,42
yhjG,486,97
yhjH,542,157
kdgK,222,14
yhjJ,833,188
dctA,282,40
yhjK,956,30
yhjL,990,107
bcsC,357,76
yhjN,656,134
yhjO,633,148
yhjQ,249,47
yhjR,72,0
yhjS,414,23
yhjT,3,8
yhjU,412,88
STM3624A,228,0
yhjV,414,7
dppF,273,97
dppD,144,66
dppC,123,83
dppB,176,104
dppA,613,144
STM3631,191,0
STM3632,164,22
STM3633,1104,51
yhjW,1658,113
lpfE,71,16
lpfD,264,10
lpfC,474,5
lpfB,17,0
lpfA,21,2
yhjY,259,2
tag,631,33
yiaC,192,1
bisC,1383,247
yiaD,777,79
yiaE,621,21
yiaF,1667,77
yiaG,213,0
cspA,210169,1511
STM3650,611,3
STM3651,597,7
STM3652,159,4
STM3653,87,6
glyS,5545,1382
glyQ,2347,747
STM3657,33,0
yiaH,105,1
yiaB,14,2
xylB,122,45
xylA,54,35
xylR,428,0
bax,1389,191
malS,151,16
avtA,594,164
ysaA,119,12
yiaJ,77,8
yiaK,14,0
yiaL,9,0
STM3670,34,3
yiaM,8,0
yiaN,22,1
yiaO,2,0
lyxK,24,1
sgbH,4,2
sgbU,8,0
sgbE,44,3
STM3678,59,7
STM3679,89,33
aldB,76,28
STM3681,87,17
selB,517,121
selA,439,143
yibF,241,35
mtlA,316,1240
mtlD,272,469
mtlR,156,325
STM3688,39,0
yibL,622,79
STM3690,8,0
STM3691,505,2
lldP,280,15
lldR,126,4
lldD,91,2
yibK,376,11
STM3696,263,53
STM3697,75,3
STM3698,560,8
cysE,1593,153
gpsA,3336,957
secB,2300,151
grxC,1109,372
yibN,2794,350
pmgI,809,208
yibP,1814,155
yigQ,992,6
yibD,143,11
tdh,1694,325
kbl,1518,198
rfaD,1368,234
rfaF,1093,164
rfaC,1055,75
rfaL,1375,4
rfaK,590,14
rfaZ,1691,25
rfaY,377,43
rfaJ,409,34
rfaI,530,152
rfaB,564,26
yibR,76,10
rfaP,502,59
rfaG,666,126
rfaQ,1032,59
kdtA,2443,509
kdtB,741,99
mutM,667,143
rpmG,3674,568
rpmB,25350,1917
radC,553,44
dfp,1030,110
dut,710,125
ttk,639,8
pyrE,332,27
rph,662,352
yicC,1238,383
STM3736,381,5
STM3737,272,3
yigC,155,3
yicF,182,10
gmk,2632,137
rpoZ,1463,939
spoT,9551,1137
spoU,1932,86
recG,2695,43
STM3745,426,191
gltS,835,357
yicE,336,10
yicH,676,11
yicI,172,33
yicJ,29,6
STM3752,12,0
sugR,461,40
STM3754,80,11
rhuM,594,29
rmbA,3,0
misL,353,10
fidL,115,6
marT,237,6
STM3760,1,0
slsA,52,7
cigR,171,25
mgtB,178,38
mgtC,44,5
yicL,364,3
STM3766,87,3
STM3767,44,0
STM3768,37,5
STM3769,25,2
STM3770,15,3
STM3771,74,0
STM3772,22,2
STM3773,388,224
STM3774,10,0
STM3775,300,9
yicM,1228,27
STM3777,81,0
STM3778,58,0
STM3779,12,0
STM3780,5,0
STM3781,104,18
STM3782,69,0
STM3783,15,0
STM3784,22,2
STM3785,53,13
yicN,270,10
uhpT,56,13
uhpC,118,87
uhpB,178,228
uhpA,53,142
STM3791,212,4
STM3792,148,12
STM3793,40,0
STM3794,175,9
ilvN,34,17
ilvB,278,232
STM3796A,565,2
ysdB,22,0
ivbL,177,2021
ysdA,286,5
emrD,375,159
STM3799,202,58
dsdC,212,0
dsdX,117,4
dsdA,223,29
yidF,88,2
yidG,89,0
yidH,84,28
yidE,207,62
ibpB,590,63
ibpA,1039,144
yidQ,117,3
yidR,371,23
ccmH,32,0
ccmG,0,0
ccmF,0,0
ccmE,0,0
ccmD,0,0
ccmC,0,0
ccmB,0,0
ccmA,0,0
STM3820,12,9
torD,30,3
torA,71,8
torC,28,0
torR,138,74
torT,107,5
torS,476,16
dgoT,94,10
dgoA,42,6
dgoK,69,6
dgoR,64,0
yidA,1271,107
STM3832,15,2
STM3833,196,0
STM3834,615,0
gyrB,5535,2400
recF,1318,309
dnaN,1912,1259
dnaA,3903,642
rpmH,3195,1676
rnpA,2404,729
STM3841,628,62
yidC,8513,759
trmE,913,160
STM3845,920,10
STM3846,730,1
yidY,216,0
yidZ,220,2
yieE,317,6
yieF,422,23
yieG,1014,139
yieH,307,68
phoU,252,13
pstB,224,27
pstA,119,10
pstC,84,10
pstS,216,30
STM3858,353,14
STM3859,14,10
STM3860,195,7
glmS,5243,4980
glmU,1957,688
STM3863,200,13
atpC,2208,2253
atpD,14741,2749
atpG,6638,2336
atpA,14059,2894
atpH,4889,634
atpF,5067,1781
atpE,2149,1007
atpB,3994,606
atpI,1965,94
gidB,670,63
gidA,1180,1102
mioC,3300,101
asnC,386,10
asnA,447,272
yieM,801,41
yieN,1432,60
kup,1139,274
rbsD,112,71
rbsA,146,287
rbsC,105,80
rbsB,321,95
rbsK,391,129
rbsR,266,54
yieO,431,9
yieP,349,26
yifA,2105,1
yifE,449,1167
yifB,381,1
ilvL,60,192
ilvG,278,217
ilvM,7,0
ilvE,140,31
ilvD,329,155
ilvA,390,259
STM3906,70,9
STM3907,75,14
ilvY,270,5
ilvC,1658,514
ppiC,582,25
STM3911,20,0
rep,1068,132
gppA,6353,792
rhlB,6256,412
trxA,4339,306
rho,26415,3315
rfe,1962,84
wzzE,1275,72
wecB,1556,72
wecC,1322,290
rffG,1202,138
rffH,274,19
wecD,526,16
wecE,721,36
wzxE,814,52
STM3927,519,40
wecF,791,34
wecG,379,24
yifK,1091,123
hemY,1377,15
hemX,1456,47
hemD,1141,46
hemC,2730,654
cyaA,7435,875
STM3940,113,0
STM3941,45,1
STM3942,61,0
cyaY,146,27
STM3944,58,0
yifL,268,38
dapF,1196,185
yigA,699,142
xerC,822,119
yigB,512,27
uvrD,2250,496
corA,1026,306
yigF,21,0
yigG,16,0
rarD,551,46
yigI,99,5
pldA,1529,99
recQ,2424,243
rhtC,613,38
rthB,278,25
pldB,626,73
yigL,351,106
yigM,547,5
metR,158,13
metE,254,20
STM3966,145,39
dlhH,126,12
udp,677,49
yigN,488,130
ubiE,1361,134
yigP,764,236
aarF,2104,237
tatA,1308,157
tatB,1643,570
tatC,2189,56
yigW,561,43
rfaH,599,32
yigC,4018,664
ubiB,1295,104
STM3980,34,0
STM3981,258,12
fadA,66,3
fadB,85,6
pepQ,2062,85
yigZ,550,109
trkH,539,86
hemG,329,68
mobB,117,0
mobA,127,16
yihD,138,41
yihE,2349,147
dsbA,1371,240
yihG,899,10
polA,2038,232
spf,295,89
yihA,1654,230
STM4002,315,1267
yihI,801,512
hemN,1386,196
glnG,671,16
glnL,769,6
glnA,6789,101
STM4008,850,0
typA,26590,6246
STM4010,306,1
STM4011,68,0
STM4012,48,0
STM4013,36,0
STM4014,53,0
STM4015,22,0
yshA,3,1
yihO,36,3
yihP,80,3
yihQ,131,6
yihR,240,6
yihS,60,3
yihT,4,0
yihU,7,3
yihV,12,2
yihW,339,29
yihX,360,10
rbn,231,0
yihZ,164,53
yiiD,736,63
STM4030,278,12
STM4031,53,11
STM4032,136,25
STM4033,149,0
fdhE,2331,577
fdoI,1735,142
fdoH,2741,480
fdoG,16355,866
fdhD,503,161
STM4039,202,0
yiiG,30,0
STM4041,211,12
STM4042,830,24
STM4042A,309,33
yiiL,108,0
STM4044,112,5
rhaD,77,2
rhaA,59,0
rhaB,67,8
rhaS,49,0
rhaR,39,5
rhaT,32,4
STM4051,4,3
STM4052,96,4
STM4053,7,0
STM4054,58,0
sodA,10322,150
yiiM,496,17
STM4057,174,34
cpxA,1595,744
cpxR,798,94
cpxP,6533,313
yiiP,384,84
pfkA,285,445
sbp,143,35
ushB,266,16
STM4065,36,2
STM4066,21,2
STM4067,138,11
STM4068,517,15
STM4069,88,0
STM4070,17,0
STM4071,73,3
ydeV,205,39
ydeW,332,71
ego,68,8
ydeY,12,0
ydeZ,20,2
yneA,42,1
yneB,5,10
yneC,11,0
STM4080,314,20
tpiA,2145,480
yiiQ,162,17
yiiR,188,50
fpr,1206,43
glpX,1215,285
glpK,584,358
glpF,420,275
yiiU,913,77
menG,719,483
menA,432,48
hslU,2780,380
hslV,861,185
ftsN,1176,36
cytR,863,25
priA,2100,156
rpmE,7051,350
STM4097,481,8
STM4098,197,9
metJ,238,52
metB,281,152
metL,850,319
STM4102,112,10
STM4103,60,5
STM4104,128,9
metF,195,7
katG,609,69
yijF,72,0
gldA,209,13
talC,51,2
ptsA,175,9
frwC,6,4
frwB,5,0
pflD,522,49
pflC,104,37
frwD,53,1
yijO,153,15
yijP,820,499
ppc,4813,161
argE,1834,29
argC,279,75
argB,239,111
argH,530,153
oxyR,2604,394
udhA,2434,0
yijC,842,138
yijD,238,22
trmA,506,63
btuB,618,213
murI,511,139
murB,193,171
birA,270,82
coaA,358,42
STM4141,13,0
tufB,16341,9533
secE,3310,1774
nusG,4390,1486
rplK,21181,1951
rplA,42084,37911
rplJ,49986,14466
rplL,38622,57099
rpoB,41256,31401
rpoC,43722,57956
STM4155,147,0
STM4156,179,0
STM4157,149,0
STM4158,87,0
thiH,227,66
thiG,86,27
STM4161,8,0
thiF,116,47
thiE,80,38
thiC,1845,59
rsd,1126,5
yjaD,218,24
hemE,1686,145
nfi,616,43
yjaG,1125,146
hupA,12572,762
yjaH,1021,14
zraP,171,4
hydH,186,24
hydG,273,198
purD,474,31
purH,626,36
yjaB,90,13
metA,86,3
aceB,85,15
aceA,83,27
aceK,385,4
STM4186,133,17
iclR,1048,37
metH,925,206
yjbB,522,66
pepE,140,3
STM4191,0,0
STM4192,223,44
yjbC,512,181
yjbD,284,12
STM4195,203,1
STM4196,31,0
STM4197,3,0
STM4198,18,11
STM4199,9,10
STM4200,15,18
STM4201,3,0
STM4202,26,1
STM4203,5,0
STM4204,598,7
STM4205,156,13
STM4206,49,12
STM4207,45,16
STM4208,46,1
STM4209,3,0
STM4210,39,21
STM4211,64,11
STM4212,7,0
STM4213,60,12
STM4214,0,0
STM4215,1,0
STM4216,3,4
STM4217,10,0
STM4218,1,0
STM4219,25,0
lysC,370,39
pgi,3369,342
yjbE,19,11
yjbF,24,6
yjbG,12,5
yjbH,247,29
yjbA,115,9
malG,245,2
malF,101,0
malE,80,2
malK,11,9
lamB,76,6
malM,126,11
ubiC,1242,90
ubiA,1238,69
plsB,4259,369
dgkA,370,16
lexA,2145,1044
dinF,1476,250
STM4239,6,4
yjbJ,217,121
zur,949,90
STM4242,105,10
yjbN,820,107
yjbO,64,1
qor,220,4
dnaB,2278,352
alr,1522,130
tyrB,1707,23
aphA,564,32
yjbQ,202,13
yjbR,87,6
STM4252,33,2
STM4253,81,0
uvrA,2073,771
STM4255,2,2
ssb,3988,731
STM4257,2,2
STM4258,3,3
STM4259,4,0
STM4260,5,2
STM4261,832,257
STM4262,143,8
yjcB,1429,43
yjcC,485,0
soxS,113,7
soxR,101,37
STM4267,214,5
yjcD,818,23
yjcE,483,108
STM4270,303,48
STM4271,34,3
STM4272,57,13
yjcG,136,7
yjcH,4,3
acs,63,1
STM4276,29,0
nrfA,62,0
nrfB,37,9
nrfC,58,0
nrfD,25,7
nrfE,37,6
nrfG,106,4
gltP,7409,573
yjcO,772,34
fdhF,218,23
lpxO,124,0
phnO,98,10
phnB,146,10
phnA,426,279
proP,3340,44
basS,1741,20
basR,650,7
yjdB,1085,7
yjdE,140,30
adiY,115,0
adi,359,0
melR,78,6
melA,48,0
melB,99,5
fumB,222,23
dcuB,76,21
STM4302,2,0
dcuR,98,16
dcuS,255,41
STM4305,40,5
STM4306,14,0
STM4307,33,13
STM4308,50,8
STM4309,70,0
STM4310,20,3
tnpA_6,0,0
STM4312,5,5
STM4313,4,2
STM4314,0,0
STM4315,4,0
STM4316,2,0
STM4317,108,9
STM4318,157,28
phoN,139,3
EthD,11,5
STM4320,148,12
yjdC,503,1
dsbD,808,3
cutA,183,2
dcuA,596,25
aspA,1021,220
fxsA,394,157
yjeH,314,9
mopB,1280,644
mopA,9393,2253
yjeI,463,135
yjeJ,312,10
yjeK,1525,116
efp,4111,952
ecnA,163,0
ecnB,175,13
ecnR,306,4
sugE,1066,64
blc,515,1
frdD,128,4
frdC,62,0
frdB,117,19
frdA,286,73
yjeA,1287,254
yjeM,320,13
yjeO,161,31
yjeP,1699,141
psd,384,60
yjeQ,1462,62
orn,319,140
STM4351,619,14
yjeS,1360,31
yjeF,380,81
yjeE,226,23
amiB,863,143
mutL,1369,128
miaA,3615,1537
hfq,2452,15
hflX,4446,1630
hflK,3744,1121
hflC,3847,1415
yjeT,100,10
purA,4717,6380
yjeB,6457,15
vacB,15772,1688
yjfH,2870,165
yjfI,16,0
yjfJ,29,1
STM4372,50,8
yjfK,19,3
yjfL,16,0
yjfM,75,2
yjfC,45,29
aidB,86,40
yjfN,67,18
yjfO,79,1
yjfP,156,9
yjfQ,162,41
yjfR,74,4
sgaT,33,0
sgaB,3,0
ptxA,1,0
sgaH,12,17
sgaU,37,3
sgaE,56,7
yjfY,49,0
STM4390,21,11
rpsF,29434,9086
priB,14806,554
rpsR,8203,276
rplI,29723,18814
yifZ,276,47
ytfB,743,41
fklB,1137,588
cycA,4615,150
ytfE,799,1
ytfF,512,15
ytfG,50,3
ytfH,77,11
cpdB,307,26
cysQ,641,36
ytfJ,114,9
ytfK,277,42
ytfL,1879,159
msrA,297,38
ytfM,515,175
ytfN,1567,362
ytfP,458,18
STM4412,316,1
STM4413,25,0
ppa,5071,847
fbp,806,134
mpl,994,203
STM4417,652,45
STM4418,258,8
STM4419,144,6
STM4420,121,23
STM4421,101,20
STM4422,3,0
STM4423,11,0
STM4424,1,2
STM4425,73,4
srfJ,34,12
STM4427,41,15
STM4428,59,6
STM4429,0,0
STM4430,25,6
STM4431,21,2
STM4432,0,0
STM4433,10,0
STM4434,22,8
STM4435,15,4
STM4436,172,35
yjgA,1469,524
pmbA,1517,175
cybC,651,69
STM4440,19,0
STM4441,4,0
STM4442,3,0
STM4443,20,3
STM4444,15,5
STM4445,29,0
STM4446,21,11
STM4447,36,19
STM4448,282,27
STM4449,55,11
STM4450,38,20
nrdG,119,0
nrdD,170,35
treC,84,11
treR,284,2
mgtA,921,88
STM4457,569,2
yjgF,998,128
pyrI,92,8
pyrB,97,9
pyrL,0,3
yjgG,0,0
STM4463,6,0
STM4464,138,15
STM4465,7,0
STM4466,74,0
STM4467,9,0
yjgK,10,14
argI,51,16
yjgD,374,231
miaE,532,41
ytgA,244,0
yjgM,299,8
yjgN,247,2
valS,3473,2745
holC,215,96
pepA,1398,199
STM4478,289,121
yjgP,1927,375
yjgQ,1524,279
idnR,230,2
idnT,56,2
idnO,16,0
idnD,15,2
idnK,29,3
yjgB,175,8
STM4488,82,0
STM4489,306,43
STM4490,240,39
STM4491,1116,46
STM4492,1845,94
STM4493,320,44
STM4494,981,32
STM4495,1122,185
STM4496,1696,246
STM4497,220,19
STM4498,337,74
yeeN,1021,53
yjhP,202,18
STM4501,22,0
STM4502,13,0
STM4503,48,13
STM4504,8,2
STM4505,36,0
STM4506,98,0
uxuR,1287,191
trpS2,235,0
STM4509,32,0
STM4510,48,3
yjiE,210,11
iadA,193,16
yjiG,41,0
yjiH,44,10
yjiJ,645,0
yjiN,128,0
yjiO,157,40
STM4518,66,3
STM4519,59,11
STM4520,1,7
yjiS,1,0
STM4522,42,0
yjiW,40,16
hsdS,302,3
hsdM,352,137
hsdR,445,34
mrr,224,40
STM4528,117,11
STM4529,104,0
yjiA,360,114
yjiX,55,15
yjiY,107,841
tsr,2251,3745
STM4534,269,55
STM4535,4,1
STM4536,1,0
STM4537,3,8
STM4538,22,0
STM4539,17,3
STM4540,181,11
mdoB,946,51
yjjA,470,8
dnaC,898,32
dnaT,562,16
STM4545,57,0
yjjP,90,6
yjjQ,11,0
bglJ,183,0
STM4549,480,21
fhuF,1860,212
STM4551,452,24
STM4552,533,22
rsmC,1098,227
holD,357,149
rimI,321,126
yjjG,691,302
prfC,2209,741
osmY,247,37
STM4562,30,22
yjjU,210,8
yjjV,122,18
yjjW,48,8
yjjI,66,8
deoC,302,98
deoA,466,84
deoB,2615,1403
deoD,1548,530
STM4571,206,1
stjB,267,4
stjC,39,2
STM4574,152,3
STM4575,89,0
lplA,269,43
smp,120,19
serB,703,122
radA,1070,178
nadR,765,88
yjjK,4030,1194
slt,679,169
trpR,296,7
yjjX,238,3
gpmB,507,87
rob,961,58
creA,99,63
creB,217,74
creC,326,57
creD,152,35
sthE,143,2
sthD,29,0
sthB,120,9
sthA,13,5
STM4595,23,0
STM4596,117,21
STM4597,517,8
arcA,3679,513
yjjY,1260,0
lasT,170,6
